,Channel 1 Last (C),Channel 2 Last (C),Channel 3 Last (C),Channel 4 Last (C),Channel 5 Last (C),Channel 6 Last (C),Channel 7 Last (C)
00:00:27,29.982,29.905,30.35,30.263,30.256,27.101,30.93
00:00:28,29.993,29.916,30.358,30.252,30.256,27.101,30.919
00:00:29,29.99,29.942,30.376,30.263,30.274,27.09,30.912
00:00:30,29.997,29.953,30.383,30.267,30.27,27.098,30.919
00:00:31,29.997,29.953,30.372,30.35,30.248,27.098,30.912
00:00:32,29.997,29.953,30.376,30.511,30.318,27.109,30.901
00:00:33,30.03,29.953,30.402,30.475,30.373,27.098,30.908
00:00:34,30.037,29.975,30.424,30.46,30.38,27.105,30.908
00:00:35,30.048,29.968,30.434,30.449,30.376,27.102,30.912
00:00:36,30.059,29.983,30.438,30.453,30.376,27.102,30.916
00:00:37,30.085,29.99,30.453,30.438,30.38,27.098,30.908
00:00:38,30.085,29.994,30.467,30.435,30.384,27.098,30.912
00:00:39,30.103,30.005,30.475,30.435,30.373,27.106,30.908
00:00:40,30.107,30.012,30.475,30.435,30.38,27.098,30.908
00:00:41,30.125,30.012,30.486,30.431,30.376,27.12,30.905
00:00:42,30.114,30.023,30.478,30.431,30.366,27.124,30.905
00:00:43,30.114,30.038,30.5,30.675,30.391,27.146,30.901
00:00:44,30.125,30.056,30.519,30.73,30.471,27.15,30.908
00:00:45,30.169,30.06,30.533,30.686,30.519,27.168,30.919
00:00:46,30.202,30.074,30.544,30.807,30.573,27.19,30.93
00:00:47,30.216,30.074,30.57,30.839,30.624,27.201,30.938
00:00:48,30.235,30.074,30.581,30.92,30.668,27.213,30.949
00:00:49,30.249,30.096,30.621,30.85,30.676,27.209,30.952
00:00:50,30.26,30.096,30.643,30.807,30.661,27.213,30.96
00:00:51,30.275,30.107,30.657,30.789,30.654,27.224,30.963
00:00:52,30.304,30.125,30.665,30.759,30.643,27.227,30.971
00:00:53,30.319,30.144,30.668,30.73,30.639,27.238,30.985
00:00:54,30.33,30.155,30.676,30.723,30.632,27.238,31
00:00:55,30.333,30.166,30.687,30.705,30.625,27.246,30.989
00:00:56,30.337,30.162,30.687,30.701,30.61,27.261,30.996
00:00:57,30.359,30.187,30.705,30.687,30.599,27.261,30.996
00:00:58,30.37,30.202,30.694,30.676,30.588,27.25,30.989
00:00:59,30.37,30.195,30.69,30.665,30.581,27.261,30.989
00:01:00,30.384,30.206,30.694,30.658,30.578,27.268,30.978
00:01:01,30.406,30.217,30.694,30.647,30.574,27.261,30.985
00:01:02,30.33,30.217,30.705,30.639,30.563,27.265,30.986
00:01:03,30.057,30.228,30.698,30.639,30.556,27.272,30.993
00:01:04,29.395,30.224,30.701,30.643,30.563,27.272,30.978
00:01:05,26.198,30.21,30.694,30.618,30.552,27.272,30.989
00:01:06,23.88,30.21,30.698,30.621,30.545,27.279,30.975
00:01:07,21.26,30.195,30.694,30.618,30.541,27.279,30.982
00:01:08,18.411,30.177,30.705,30.621,30.549,27.294,30.978
00:01:09,12.284,30.068,30.698,30.61,30.541,27.287,30.978
00:01:10,8.996,29.984,30.687,30.603,30.534,27.305,30.982
00:01:11,5.648,29.877,30.683,30.6,30.534,27.309,30.978
00:01:12,2.439,29.741,30.691,30.611,30.534,27.316,30.975
00:01:13,-1.757,29.391,30.658,30.582,30.52,27.294,30.971
00:01:14,-3.152,29.193,30.64,30.585,30.527,27.294,30.96
00:01:15,-4.376,28.946,30.618,30.582,30.52,27.302,30.964
00:01:16,-5.467,28.7,30.593,30.567,30.516,27.298,30.961
00:01:17,-7.539,28.141,30.527,30.553,30.512,27.294,30.953
00:01:18,-8.515,27.843,30.483,30.549,30.509,27.28,30.946
00:01:19,-9.336,27.526,30.443,30.538,30.502,27.298,30.943
00:01:20,-10.091,27.203,30.392,30.516,30.498,27.284,30.939
00:01:21,-11.488,26.544,30.265,30.487,30.48,27.284,30.939
00:01:22,-12.144,26.198,30.203,30.476,30.48,27.28,30.932
00:01:23,-12.766,25.856,30.13,30.447,30.483,27.273,30.932
00:01:24,-13.333,25.503,30.043,30.414,30.476,27.284,30.935
00:01:25,-14.406,24.8,29.878,30.378,30.473,27.265,30.924
00:01:26,-14.889,24.432,29.775,30.338,30.462,27.276,30.928
00:01:27,-15.36,24.068,29.679,30.316,30.466,27.276,30.925
00:01:28,-15.804,23.715,29.576,30.269,30.455,27.28,30.925
00:01:29,-16.614,23.001,29.363,30.2,30.436,27.273,30.917
00:01:30,-16.989,22.618,29.238,30.156,30.425,27.258,30.903
00:01:31,-17.348,22.269,29.127,30.116,30.415,27.244,30.907
00:01:32,-17.683,21.927,29.01,30.069,30.415,27.24,30.892
00:01:33,-18.313,21.261,28.759,29.963,30.404,27.24,30.903
00:01:34,-18.625,20.919,28.623,29.918,30.386,27.236,30.896
00:01:35,-18.93,20.573,28.498,29.856,30.378,27.232,30.892
00:01:36,-19.204,20.227,28.355,29.801,30.353,27.233,30.892
00:01:37,-19.768,19.527,28.079,29.683,30.331,27.222,30.881
00:01:38,-20.035,19.185,27.935,29.617,30.309,27.207,30.878
00:01:39,-20.287,18.847,27.788,29.558,30.302,27.218,30.87
00:01:40,-20.535,18.513,27.649,29.492,30.28,27.211,30.867
00:01:41,-21.001,17.855,27.362,29.341,30.255,27.192,30.859
00:01:42,-21.257,17.513,27.203,29.267,30.226,27.181,30.849
00:01:43,-21.489,17.179,27.053,29.198,30.215,27.17,30.845
00:01:44,-21.706,16.841,26.902,29.117,30.185,27.163,30.834
00:01:45,-22.144,16.183,26.611,28.977,30.142,27.141,30.83
00:01:46,-22.345,15.852,26.449,28.903,30.124,27.123,30.823
00:01:47,-22.562,15.537,26.306,28.826,30.113,27.123,30.816
00:01:48,-22.755,15.21,26.148,28.749,30.087,27.123,30.812
00:01:49,-23.137,14.556,25.846,28.591,30.036,27.097,30.805
00:01:50,-23.326,14.244,25.688,28.514,30.007,27.082,30.783
00:01:51,-23.511,13.906,25.522,28.429,29.974,27.057,30.772
00:01:52,-23.685,13.586,25.368,28.341,29.963,27.042,30.769
00:01:53,-24.02,12.951,25.059,28.171,29.893,27.013,30.758
00:01:54,-24.174,12.642,24.893,28.091,29.864,26.998,30.751
00:01:55,-24.327,12.326,24.743,28.006,29.842,26.976,30.751
00:01:56,-24.465,12.033,24.588,27.921,29.813,26.961,30.743
00:01:57,-24.757,11.438,24.275,27.749,29.754,26.943,30.722
00:01:58,-24.895,11.126,24.117,27.653,29.728,26.913,30.722
00:01:59,-25.029,10.833,23.963,27.572,29.71,26.899,30.707
00:02:00,-25.159,10.547,23.804,27.491,29.68,26.884,30.707
00:02:01,-25.403,9.967,23.488,27.289,29.6,26.844,30.685
00:02:02,-25.513,9.682,23.33,27.215,29.57,26.84,30.682
00:02:03,-25.628,9.404,23.175,27.134,29.544,26.844,30.682
00:02:04,-25.73,9.13,23.028,27.046,29.515,26.822,30.66
00:02:05,-25.947,8.586,22.705,26.87,29.456,26.792,30.66
00:02:06,-26.045,8.312,22.539,26.763,29.412,26.756,30.635
00:02:07,-26.156,8.053,22.399,26.678,29.383,26.748,30.638
00:02:08,-26.25,7.79,22.26,26.59,29.342,26.715,30.624
00:02:09,-26.459,7.265,21.954,26.399,29.265,26.668,30.602
00:02:10,-26.558,7.017,21.8,26.292,29.225,26.642,30.588
00:02:11,-26.652,6.762,21.649,26.248,29.203,26.609,30.58
00:02:12,-26.747,6.514,21.502,26.119,29.166,26.568,30.569
00:02:13,-26.932,6.004,21.189,25.91,29.074,26.506,30.551
00:02:14,-27.019,5.76,21.06,25.821,29.03,26.487,30.537
00:02:15,-27.086,5.523,20.921,25.726,28.993,26.491,30.533
00:02:16,-27.172,5.276,20.766,25.641,28.96,26.458,30.522
00:02:17,-27.322,4.829,20.483,25.468,28.872,26.436,30.504
00:02:18,-27.405,4.596,20.339,25.354,28.839,26.414,30.49
00:02:19,-27.472,4.375,20.207,25.281,28.802,26.403,30.482
00:02:20,-27.554,4.187,20.064,25.204,28.773,26.392,30.482
00:02:21,-27.712,3.718,19.778,25.009,28.695,26.363,30.446
00:02:22,-27.763,3.501,19.648,24.932,28.662,26.344,30.435
00:02:23,-27.842,3.276,19.515,24.829,28.615,26.341,30.432
00:02:24,-27.909,3.073,19.381,24.751,28.585,26.341,30.421
00:02:25,-28.023,2.652,19.124,24.571,28.493,26.3,30.395
00:02:26,-28.082,2.439,18.991,24.457,28.46,26.3,30.388
00:02:27,-28.145,2.232,18.875,24.376,28.42,26.286,30.381
00:02:28,-28.212,2.029,18.745,24.291,28.368,26.275,30.366
00:02:29,-28.342,1.827,18.485,24.133,28.298,26.238,30.352
00:02:30,-28.401,1.699,18.363,24.041,28.262,26.216,30.341
00:02:31,-28.464,1.561,18.233,23.961,28.214,26.183,30.319
00:02:32,-28.527,1.444,18.103,23.865,28.17,26.161,30.304
00:02:33,-28.646,1.313,17.861,23.7,28.111,26.117,30.29
00:02:34,-28.713,1.219,17.728,23.604,28.063,26.084,30.275
00:02:35,-28.787,1.122,17.601,23.516,28.026,26.047,30.265
00:02:36,-28.85,1.009,17.464,23.427,27.957,26.007,30.25
00:02:37,-28.973,0.802,17.219,23.24,27.883,25.94,30.217
00:02:38,-29.04,0.705,17.104,23.159,27.839,25.918,30.206
00:02:39,-29.095,0.604,16.981,23.071,27.806,25.904,30.199
00:02:40,-29.15,0.506,16.866,22.99,27.765,25.885,30.184
00:02:41,-29.248,0.33,16.639,22.776,27.67,25.841,30.156
00:02:42,-29.311,0.221,16.513,22.673,27.611,25.827,30.145
00:02:43,-29.354,0.142,16.409,22.596,27.567,25.812,30.127
00:02:44,-29.41,0.06,16.294,22.523,27.523,25.797,30.112
00:02:45,-29.508,-0.107,16.075,22.39,27.449,25.775,30.087
00:02:46,-29.548,-0.179,15.96,22.298,27.409,25.764,30.068
00:02:47,-29.603,-0.251,15.859,22.236,27.369,25.753,30.058
00:02:48,-29.638,-0.323,15.744,22.148,27.325,25.728,30.04
00:02:49,-29.756,-0.479,15.525,21.993,27.251,25.698,30.01
00:02:50,-29.784,-0.543,15.428,21.923,27.218,25.68,29.996
00:02:51,-29.835,-0.608,15.354,21.795,27.167,25.662,29.981
00:02:52,-29.886,-0.688,15.246,21.802,27.144,25.647,29.963
00:02:53,-29.981,-0.843,15.053,21.648,27.075,25.614,29.941
00:02:54,-30,-0.904,14.983,21.589,27.031,25.603,29.919
00:02:55,-30.052,-0.976,14.879,21.504,26.994,25.592,29.908
00:02:56,-30.097,-1.052,14.79,21.434,26.964,25.563,29.897
00:02:57,-30.185,-1.185,14.6,21.287,26.873,25.537,29.871
00:02:58,-30.217,-1.242,14.515,21.203,26.821,25.493,29.846
00:02:59,-30.269,-1.318,14.407,21.129,26.777,25.467,29.831
00:03:00,-30.301,-1.368,14.329,21.059,26.74,25.463,29.831
00:03:01,-30.377,-1.485,14.151,20.924,26.652,25.42,29.805
00:03:02,-30.409,-1.535,14.058,20.85,26.626,25.386,29.783
00:03:03,-30.454,-1.599,13.958,21.369,26.233,25.309,29.765
00:03:04,-30.502,-1.675,13.865,22.885,26.373,25.228,29.739
00:03:05,-30.594,-1.804,13.884,22.793,26.634,25.166,29.706
00:03:06,-30.634,-1.877,13.917,22.377,26.66,25.136,29.695
00:03:07,-30.666,-1.93,13.917,22.09,26.667,25.118,29.67
00:03:08,-30.702,-1.987,13.887,21.844,26.641,25.092,29.64
00:03:09,-30.782,-2.101,13.754,21.354,26.572,25.056,29.603
00:03:10,-30.815,-2.154,13.702,21.719,26.45,25.056,29.592
00:03:11,-30.839,-2.203,13.65,21.45,26.436,25.045,29.574
00:03:12,-30.871,-2.256,13.587,21.248,26.406,25.03,29.548
00:03:13,-30.931,-2.359,13.442,20.957,26.348,25.019,29.53
00:03:14,-30.967,-2.393,13.368,20.81,26.3,25.016,29.508
00:03:15,-31.003,-2.431,13.294,20.88,26.322,25.031,29.486
00:03:16,-31.031,-2.488,12.915,20.81,26.344,25.038,29.468
00:03:17,-31.095,-2.571,13.413,20.663,26.304,25.027,29.424
00:03:18,-31.131,-2.621,13.342,20.549,26.237,25.02,29.413
00:03:19,-31.159,-2.666,13.264,20.384,26.16,25.031,29.409
00:03:20,-31.191,-2.708,13.29,20.292,26.102,25.012,29.398
00:03:21,-31.259,-2.799,13.149,20.101,26.006,24.968,29.358
00:03:22,-31.296,-2.841,13.075,20.005,25.947,24.943,29.336
00:03:23,-31.332,-2.894,13,19.912,25.907,24.924,29.336
00:03:24,-31.364,-2.943,12.923,19.827,25.859,24.895,29.321
00:03:25,-31.428,-3.035,12.752,19.645,25.763,24.825,29.292
00:03:26,-31.472,-3.095,12.659,19.541,25.705,24.803,29.277
00:03:27,-31.508,-3.156,12.573,19.467,25.66,24.774,29.262
00:03:28,-31.556,-3.202,12.492,19.381,25.62,24.737,29.233
00:03:29,-31.624,-3.297,12.317,19.218,25.524,24.682,29.207
00:03:30,-31.66,-3.338,12.228,19.144,25.473,24.671,29.197
00:03:31,-31.688,-3.384,12.143,19.073,25.433,24.653,29.186
00:03:32,-31.721,-3.429,12.065,18.995,25.392,24.623,29.163
00:03:33,-31.777,-3.505,11.901,18.847,25.322,24.59,29.142
00:03:34,-31.809,-3.555,11.823,18.78,25.278,24.572,29.123
00:03:35,-31.849,-3.604,11.734,18.713,25.227,24.55,29.098
00:03:36,-31.877,-3.642,11.66,18.613,25.175,24.532,29.079
00:03:37,-31.933,-3.71,11.511,18.475,25.087,24.502,29.068
00:03:38,-31.949,-3.741,11.434,18.416,25.043,24.491,29.043
00:03:39,-31.981,-3.786,11.359,18.36,25.01,24.477,29.035
00:03:40,-32.001,-3.82,11.289,18.297,24.985,24.469,29.032
00:03:41,-32.053,-3.892,11.14,18.171,24.896,24.429,28.995
00:03:42,-32.097,-3.934,11.059,18.108,24.867,24.414,28.973
00:03:43,-32.125,-3.98,10.977,18.045,24.816,24.385,28.947
00:03:44,-32.153,-4.018,10.91,17.989,24.793,24.37,28.933
00:03:45,-32.217,-4.086,10.769,17.87,24.705,24.319,28.903
00:03:46,-32.233,-4.131,10.691,17.807,24.687,24.304,28.885
00:03:47,-32.274,-4.162,10.628,17.751,24.654,24.297,28.874
00:03:48,-32.29,-4.188,10.55,17.707,24.617,24.271,28.87
00:03:49,-32.358,-4.253,10.424,17.573,24.536,24.231,28.826
00:03:50,-32.39,-4.295,10.349,17.514,24.489,24.202,28.815
00:03:51,-32.41,-4.34,10.282,17.462,24.459,24.172,28.786
00:03:52,-32.454,-4.382,10.204,17.384,24.419,24.143,28.775
00:03:53,-32.506,-4.465,10.06,17.276,24.356,24.102,28.738
00:03:54,-32.538,-4.511,9.997,17.228,24.32,24.091,28.724
00:03:55,-32.562,-4.534,9.925,17.169,24.283,24.058,28.702
00:03:56,-32.578,-4.572,9.862,17.117,24.25,24.047,28.687
00:03:57,-32.626,-4.64,9.738,17.013,24.195,24.022,28.658
00:03:58,-32.646,-4.663,9.678,16.968,24.158,23.989,28.643
00:03:59,-32.678,-4.693,9.603,16.909,24.132,23.941,28.632
00:04:00,-32.71,-4.731,9.52,16.857,24.088,23.93,28.614
00:04:01,-32.774,-4.815,9.385,16.742,24.011,23.879,28.57
00:04:02,-32.807,-4.845,9.314,16.682,23.978,23.856,28.548
00:04:03,-32.839,-4.879,9.254,16.627,23.941,23.846,28.533
00:04:04,-32.855,-4.917,9.183,16.578,23.912,23.809,28.518
00:04:05,-32.899,-4.959,9.059,16.486,23.849,23.772,28.478
00:04:06,-32.923,-5.001,8.995,16.426,23.809,23.746,28.463
00:04:07,-32.943,-5.035,8.924,16.382,23.772,23.732,28.445
00:04:08,-32.967,-5.061,8.868,16.33,23.743,23.721,28.434
00:04:09,-33.003,-5.126,8.737,16.23,23.681,23.692,28.401
00:04:10,-33.035,-5.148,8.677,16.185,23.64,23.662,28.379
00:04:11,-33.059,-5.179,8.613,16.148,23.596,23.651,28.361
00:04:12,-33.083,-5.228,8.545,16.089,23.57,23.629,28.335
00:04:13,-33.135,-5.292,8.418,16,23.504,23.6,28.313
00:04:14,-33.155,-5.334,8.354,15.94,23.468,23.574,28.298
00:04:15,-33.183,-5.365,8.287,15.888,23.435,23.534,28.273
00:04:16,-33.207,-5.391,8.223,15.832,23.401,23.508,28.254
00:04:17,-33.251,-5.459,8.099,15.732,23.335,23.494,28.229
00:04:18,-33.271,-5.486,8.039,15.688,23.31,23.483,28.218
00:04:19,-33.299,-5.509,7.987,15.64,23.277,23.472,28.196
00:04:20,-33.311,-5.543,7.927,15.599,23.247,23.472,28.185
00:04:21,-33.367,-5.615,7.811,15.495,23.192,23.442,28.148
00:04:22,-33.387,-5.634,7.743,15.446,23.17,23.428,28.13
00:04:23,-33.399,-5.661,7.683,15.402,23.137,23.428,28.119
00:04:24,-33.423,-5.683,7.627,15.357,23.108,23.417,28.093
00:04:25,-33.455,-5.729,7.518,15.272,23.056,23.391,28.064
00:04:26,-33.475,-5.759,7.462,15.216,23.016,23.376,28.057
00:04:27,-33.491,-5.774,7.409,15.168,22.983,23.366,28.031
00:04:28,-33.515,-5.805,7.349,15.12,22.953,23.358,28.016
00:04:29,-33.551,-5.854,7.244,15.031,22.887,23.333,27.983
00:04:30,-33.575,-5.877,7.181,14.979,22.851,23.311,27.965
00:04:31,-33.599,-5.907,7.124,14.934,22.825,23.292,27.939
00:04:32,-33.615,-5.926,7.068,14.89,22.792,23.27,27.928
00:04:33,-33.663,-5.983,6.948,14.797,22.733,23.219,27.888
00:04:34,-33.683,-6.017,6.892,14.738,22.697,23.204,27.866
00:04:35,-33.703,-6.032,6.843,14.701,22.671,23.193,27.848
00:04:36,-33.723,-6.062,6.787,14.645,22.63,23.175,27.829
00:04:37,-33.775,-6.131,6.674,14.56,22.557,23.164,27.793
00:04:38,-33.796,-6.157,6.626,14.474,22.52,23.149,27.774
00:04:39,-33.807,-6.191,6.57,14.452,22.487,23.135,27.749
00:04:40,-33.831,-6.218,6.506,14.404,22.432,23.116,27.741
00:04:41,-33.871,-6.259,6.405,14.333,22.384,23.069,27.712
00:04:42,-33.883,-6.278,6.348,14.289,22.359,23.043,27.694
00:04:43,-33.907,-6.309,6.288,14.233,22.318,23.014,27.661
00:04:44,-33.927,-6.328,6.243,14.185,22.296,23.003,27.657
00:04:45,-33.96,-6.373,6.142,14.107,22.241,22.988,27.635
00:04:46,-33.987,-6.411,6.082,14.059,22.193,22.977,27.609
00:04:47,-34.007,-6.438,6.022,14.018,22.171,22.97,27.587
00:04:48,-34.023,-6.46,5.985,13.951,22.135,22.948,27.562
00:04:49,-34.056,-6.51,5.857,13.888,22.098,22.9,27.536
00:04:50,-34.076,-6.529,5.812,13.862,22.069,22.882,27.525
00:04:51,-34.096,-6.552,5.767,13.81,22.043,22.856,27.514
00:04:52,-34.108,-6.57,5.715,13.758,22.006,22.816,27.485
00:04:53,-34.156,-6.631,5.621,13.662,21.955,22.772,27.452
00:04:54,-34.168,-6.65,5.569,13.617,21.918,22.742,27.444
00:04:55,-34.183,-6.676,5.539,13.558,21.885,22.731,27.419
00:04:56,-34.203,-6.714,5.468,13.58,21.874,22.731,27.397
00:04:57,-34.252,-6.76,5.355,13.51,21.856,22.713,27.356
00:04:58,-34.263,-6.779,5.321,13.461,21.819,22.699,27.338
00:04:59,-34.284,-6.802,5.284,13.421,21.793,22.68,27.323
00:05:00,-34.312,-6.824,5.239,13.391,21.768,22.673,27.301
00:05:01,-34.343,-6.862,5.149,13.306,21.709,22.655,27.272
00:05:02,-34.356,-6.877,5.104,13.269,21.672,22.662,27.257
00:05:03,-34.376,-6.9,5.066,13.231,21.65,22.644,27.235
00:05:04,-34.396,-6.915,05.01,13.187,21.614,22.633,27.221
00:05:05,-34.436,-6.949,4.932,13.12,21.573,22.603,27.181
00:05:06,-34.447,-6.968,4.894,13.076,21.548,22.6,27.177
00:05:07,-34.459,-6.976,4.842,13.035,21.526,22.589,27.159
00:05:08,-34.48,-7.002,4.812,13.001,21.496,22.578,27.14
00:05:09,-34.499,-7.029,4.722,12.924,21.426,22.534,27.107
00:05:10,-34.523,-7.051,4.669,12.89,21.408,22.534,27.096
00:05:11,-34.535,-7.07,4.621,12.849,21.375,22.527,27.074
00:05:12,-34.555,-7.082,4.583,12.812,21.346,22.508,27.06
00:05:13,-34.595,-7.131,4.482,12.734,21.302,22.494,27.027
00:05:14,-34.611,-7.142,4.444,12.701,21.276,22.479,27.008
00:05:15,-34.635,-7.157,4.4,12.66,21.243,22.461,26.99
00:05:16,-34.651,-7.18,4.351,12.597,21.221,22.442,26.972
00:05:17,-34.695,-7.229,4.265,12.579,21.151,22.41,26.935
00:05:18,-34.715,-7.26,4.216,12.519,21.107,22.377,26.909
00:05:19,-34.727,-7.279,4.163,12.471,21.074,22.351,26.887
00:05:20,-34.751,-7.298,4.122,12.427,21.045,22.325,26.88
00:05:21,-34.787,-7.339,4.028,12.356,20.986,22.299,26.843
00:05:22,-34.795,-7.347,3.999,12.323,20.964,22.292,26.836
00:05:23,-34.819,-7.373,3.953,12.282,20.935,22.274,26.803
00:05:24,-34.836,-7.396,3.905,12.248,20.924,22.259,26.796
00:05:25,-34.871,-7.423,3.815,12.171,20.872,22.226,26.763
00:05:26,-34.887,-7.445,3.781,12.137,20.847,22.219,26.756
00:05:27,-34.899,-7.453,3.732,12.096,20.828,22.204,26.73
00:05:28,-34.911,-7.483,3.702,12.063,20.803,22.193,26.708
00:05:29,-34.951,-7.521,3.605,11.989,20.755,22.179,26.671
00:05:30,-34.975,-7.548,3.56,11.956,20.733,22.157,26.668
00:05:31,-35.004,-7.563,3.511,11.915,20.711,22.131,26.642
00:05:32,-35.019,-7.578,3.474,11.889,20.685,22.116,26.631
00:05:33,-35.063,-7.639,3.388,11.803,20.634,22.087,26.591
00:05:34,-35.067,-7.65,3.339,11.774,20.619,22.072,26.572
00:05:35,-35.095,-7.673,3.301,11.737,20.59,22.047,26.558
00:05:36,-35.107,-7.699,3.256,11.685,20.564,21.999,26.543
00:05:37,-35.156,-7.733,3.163,11.614,20.505,21.955,26.514
00:05:38,-35.16,-7.745,3.129,11.585,20.483,21.933,26.499
00:05:39,-35.179,-7.771,3.092,11.544,20.461,21.918,26.477
00:05:40,-35.211,-7.798,3.043,11.496,20.432,21.893,26.455
00:05:41,-35.24,-7.843,2.964,11.41,20.362,21.849,26.422
00:05:42,-35.263,-7.877,2.912,11.369,20.318,21.816,26.396
00:05:43,-35.276,-7.892,2.878,11.34,20.307,21.812,26.382
00:05:44,-35.28,-7.908,2.833,11.306,20.274,21.794,26.374
00:05:45,-35.332,-7.946,2.754,11.236,20.212,21.764,26.341
00:05:46,-35.343,-7.972,2.702,11.169,20.168,21.72,26.323
00:05:47,-35.36,-7.987,2.657,11.162,20.145,21.683,26.305
00:05:48,-35.379,-8.006,2.612,11.158,20.153,21.676,26.29
00:05:49,-35.407,-8.052,2.548,11.121,20.157,21.636,26.268
00:05:50,-35.427,-8.067,2.503,11.092,20.131,21.603,26.239
00:05:51,-35.447,-8.089,2.447,11.043,20.094,21.581,26.232
00:05:52,-35.459,-8.116,2.413,10.988,20.058,21.57,26.21
00:05:53,-35.491,-8.154,2.323,10.898,19.991,21.559,26.165
00:05:54,-35.507,-8.169,2.29,10.858,19.951,21.552,26.162
00:05:55,-35.519,-8.18,2.263,10.821,19.932,21.544,26.147
00:05:56,-35.523,-8.195,2.211,10.783,19.902,21.533,26.121
00:05:57,-35.559,-8.226,2.14,10.709,19.854,21.486,26.103
00:05:58,-35.563,-8.233,2.084,10.672,19.836,21.471,26.089
00:05:59,-35.587,-8.26,2.054,10.631,19.799,21.456,26.059
00:06:00,-35.595,-8.263,02.02,10.602,19.78,21.457,26.052
00:06:01,-35.627,-8.294,1.938,10.524,19.728,21.427,26.023
00:06:02,-35.639,-8.305,1.896,10.468,19.691,21.398,26.004
00:06:03,-35.655,-8.324,1.859,10.446,19.673,21.38,25.99
00:06:04,-35.675,-8.339,1.821,10.405,19.643,21.372,25.979
00:06:05,-35.711,-8.373,1.743,10.342,19.599,21.324,25.953
00:06:06,-35.727,-8.392,1.697,10.301,19.576,21.288,25.927
00:06:07,-35.747,-8.419,1.656,10.261,19.551,21.266,25.92
00:06:08,-35.755,-8.43,1.63,10.234,19.539,21.266,25.902
00:06:09,-35.775,-8.453,1.552,10.175,19.502,21.248,25.876
00:06:10,-35.779,-8.468,1.518,10.145,19.484,21.222,25.869
00:06:11,-35.795,-8.479,1.48,10.116,19.473,21.215,25.843
00:06:12,-35.803,-8.502,1.443,10.082,19.451,21.189,25.836
00:06:13,-35.835,-8.532,1.368,10.012,19.406,21.178,25.814
00:06:14,-35.839,-8.547,1.338,9.993,19.391,21.189,25.803
00:06:15,-35.851,-8.555,1.3,9.96,19.376,21.174,25.784
00:06:16,-35.855,-8.562,1.274,9.933,19.35,21.152,25.766
00:06:17,-35.891,-8.585,1.199,9.859,19.306,21.123,25.737
00:06:18,-35.899,-8.608,1.162,9.829,19.276,21.101,25.711
00:06:19,-35.923,-8.623,1.121,9.791,19.258,21.086,25.7
00:06:20,-35.927,-8.627,1.091,9.772,19.232,21.075,25.689
00:06:21,-35.967,-8.672,1.008,9.686,19.184,21.05,25.653
00:06:22,-35.979,-8.691,0.959,9.652,19.154,21.035,25.642
00:06:23,-35.983,-8.699,0.941,9.623,19.128,21.032,25.631
00:06:24,-35.999,-8.71,0.907,9.596,19.117,21.021,25.616
00:06:25,-36.011,-8.74,0.832,9.525,19.08,20.973,25.583
00:06:26,-36.035,-8.752,0.806,9.499,19.065,20.969,25.576
00:06:27,-36.047,-8.763,0.769,9.454,19.028,20.94,25.554
00:06:28,-36.059,-8.778,0.731,9.42,19.013,20.929,25.532
00:06:29,-36.087,-8.816,0.664,9.357,18.962,20.907,25.514
00:06:30,-36.095,-8.827,0.63,9.323,18.939,20.859,25.495
